Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
30-Dec-2008,2008.0,Invalid,AUSTRALIA,Western Australia,Port Kennedy Beach,Crabbing,,,"Reports said a shark attacked the dinghy, but Vickery said it did not",,09h30,No shark involvement
27-Dec-2008,2008.0,Boating,AUSTRALIA,Tasmania,near Schouten Island,Yacht race,,,No injury to occupants -  shark became entangled in aft rudder,N,,2 m shark
27-Dec-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks,Boogie Boarding,Male,10.0,"No injury, shark tore his swim fin",N,,
27-Dec-2008,2008.0,Boating,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",Kayaking,Male,29.0,"No injury, shark struck kayak, catapulting him into the water",N,11h00,"White shark, 4m to 5m "
27-Dec-2008,2008.0,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach,Snorkeling,Male,51.0,FATAL,Y,07h00,4 to 5m white shark
20-Dec-2008,2008.0,Boating,USA,California,"Dillon Beach, Marin County",Kayaking,Male,,"No injury, shark struck paddle",N,15h00,White shark
14-Dec-2008,2008.0,Unprovoked,NEW ZEALAND,North Island,Maraetai,Fishing,Male,,Lacerations to left calf and ankle,N,,Bronze whaler shark?
10-Dec-2008,2008.0,Provoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,Male,15.0,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N,20h00,"Raggedtooth shark, 2m"
06-Dec-2006,2008.0,Boating,AUSTRALIA,New South Wales,Mowarry Point,Fishing,,,Shark bit boats sea anchor,N,Morning,"White shark, 4.5 to 5 m "
Dec-2008,2008.0,Unprovoked,MOZAMBIQUE,Inhambane Province,Chidenguele,Spearfishing,Male,,FATAL,Y,,Zambesi shark?
28-Nov-2008,2008.0,Unprovoked,EGYPT,Red Sea,Elphinstone Reef,Scuba diving,Female,,Lacerations to fingers,N,Morning,Oceanic whitetip shark
25-Nov-2008,2008.0,Sea Disaster,PHILIPPINES,Batanes Provine,Luzon Strait,Sinking of the cargo ship Mark Jason,Male,,"Of the 20 crew, 4 were bitten by shark. None of their iinjuries were life-threatening",N,,
24-Nov-2008,2008.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Cruz,,Female,,Leg bitten,N,,
09-Nov-2008,2008.0,Boating,AUSTRALIA,South Australia,North Haven,Fishing,Male,,"No injury to occupant, shark bit dinghy & motor",N,,Bronze whaler shark
09-Nov-2008,2008.0,Sea Disaster,TAIWAN,,50 miles off Kaohsiung,Fishing boat swamped in storm,Male,45.0,FATAL,Y,,
06-Nov-2008,2008.0,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",Fishing,Male,39.0,Torso & righ arm bitten FATAL,Y,10h00 -- 11h00,
